PARAMETER,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Mean
PRECTOTCORR_SUM,21.25,-10.25,12.66,6.33,10.55,0.0,0.0,15.82,29.53,219.38,250.49,84.38,15.29,42.19,686.6,57.21833333333333
PRECTOTCORR_SUM,21.25,-10.75,23.73,9.49,10.55,0.0,0.0,16.35,33.22,262.62,282.66,120.23,19.51,43.24,821.6,68.46666666666668
PRECTOTCORR_SUM,21.25,-11.25,23.73,15.82,10.55,0.0,0.0,18.46,29.0,290.04,348.05,168.75,23.73,47.46,975.59,81.29916666666668
PRECTOTCORR_SUM,21.25,-11.75,27.95,22.15,12.66,0.0,0.0,20.57,37.44,300.59,337.5,196.17,25.84,53.79,1034.65,86.22166666666665
PRECTOTCORR_SUM,21.25,-12.25,27.42,30.06,21.09,0.0,3.16,16.35,63.28,314.3,363.34,226.76,24.79,50.62,1141.17,95.09749999999998
PRECTOTCORR_SUM,21.25,-12.75,25.31,30.06,27.42,2.11,6.33,12.13,80.16,326.95,379.16,251.02,32.17,46.41,1219.22,101.60250000000002
PRECTOTCORR_SUM,21.25,-13.25,22.15,21.09,27.42,4.75,6.86,10.55,81.74,330.12,375.47,259.98,44.3,41.66,1226.07,102.17416666666668
PRECTOTCORR_SUM,21.25,-13.75,15.82,10.55,21.09,2.64,2.64,10.55,81.74,311.13,379.69,245.21,42.19,29.0,1152.25,96.02083333333333
PRECTOTCORR_SUM,21.25,-14.25,43.24,10.55,14.77,0.53,2.64,10.55,79.63,285.82,377.58,236.78,27.42,31.11,1120.61,93.38499999999999
PRECTOTCORR_SUM,21.25,-14.75,69.08,12.13,14.77,0.0,4.22,12.13,68.03,271.58,365.98,242.58,22.15,36.39,1119.02,93.25333333333334
PRECTOTCORR_SUM,21.25,-15.25,89.12,16.35,17.93,0.0,5.27,10.02,50.1,249.43,341.72,236.25,24.26,40.61,1081.05,90.08833333333332
PRECTOTCORR_SUM,21.25,-15.75,94.39,21.62,21.62,0.53,4.22,4.22,29.53,222.54,299.0,218.32,29.0,45.35,990.35,82.52833333333334
PRECTOTCORR_SUM,21.25,-16.25,71.19,23.73,23.73,2.64,0.0,0.0,10.55,216.21,229.39,216.21,29.0,58.01,880.66,73.38833333333334
PRECTOTCORR_SUM,21.25,-16.75,56.43,23.73,49.04,6.86,6.33,0.0,8.44,138.16,147.13,224.65,31.11,68.55,760.43,63.369166666666665
PRECTOTCORR_SUM,21.25,-7.25,10.55,9.49,13.18,1.05,20.57,17.93,45.88,188.26,144.49,47.46,2.64,17.4,518.91,43.24166666666667
PRECTOTCORR_SUM,21.25,-7.75,9.49,5.27,11.07,0.0,14.24,14.77,40.61,209.36,158.2,45.35,5.8,27.95,542.11,45.17583333333334
PRECTOTCORR_SUM,21.25,-8.25,7.91,4.22,8.44,0.0,10.02,13.18,33.75,218.85,168.22,40.61,9.49,34.8,549.49,45.79083333333333
PRECTOTCORR_SUM,21.25,-8.75,7.91,0.0,10.55,0.0,18.46,13.18,31.64,187.21,176.66,34.28,5.27,36.91,522.07,43.50583333333333
PRECTOTCORR_SUM,21.25,-9.25,5.8,2.11,8.44,0.0,7.91,11.07,27.42,166.11,208.3,34.28,5.27,49.57,526.29,43.856666666666676
PRECTOTCORR_SUM,21.25,-9.75,5.27,4.22,9.49,0.0,2.11,13.71,26.37,181.41,230.45,54.84,10.02,46.41,584.3,48.69166666666666
PRECTOTCORR_SUM,21.75,-10.25,21.62,10.55,10.55,0.0,4.22,20.04,24.26,174.55,255.76,127.09,11.6,40.61,700.84,58.40416666666667
PRECTOTCORR_SUM,21.75,-10.75,33.75,10.55,11.07,0.0,2.64,17.93,19.51,189.32,289.51,148.71,16.88,35.33,775.2,64.60000000000001
PRECTOTCORR_SUM,21.75,-11.25,31.64,10.55,13.18,0.0,2.64,15.82,13.18,197.75,361.23,216.21,31.64,39.55,933.4,77.7825
PRECTOTCORR_SUM,21.75,-11.75,31.64,16.88,13.18,0.0,4.75,20.04,13.18,206.19,335.92,226.76,31.64,37.44,937.62,78.13499999999999
PRECTOTCORR_SUM,21.75,-12.25,34.8,21.62,19.51,0.0,6.86,22.68,22.68,205.14,362.81,253.12,28.48,38.5,1016.19,84.68333333333332
